HS20002,GENERAL PSYCHOLOGY,S301,15CS10047-15IE10037,C
HS30003,SOCIOLOGY OF ARCHITECTURE,F116,10MA20039-14AR10015,E
HS30003,SOCIOLOGY OF ARCHITECTURE,F142,14AR10016-14CE30001,E
HS30003,SOCIOLOGY OF ARCHITECTURE,NR221,14EC10048-14MT10032,A
HS30003,SOCIOLOGY OF ARCHITECTURE,NR122,15CH10008-15IE10032,A
HS30036,INTERCULTURAL COMMUNICATION,F116,12AR10014-14EX20008,B
Subject,Subject Name,Room No,Subdivision,Sitting Pattern
No,,,,
HS30036,INTERCULTURAL COMMUNICATION,F142,14EX20010-14MF10022,B
HS30036,INTERCULTURAL COMMUNICATION,S302,14MF3IM14-15IE10008,B
HS30068,SYMBOLIC LOGIC,F116,11IM30020-14EC30013,F
HS30068,SYMBOLIC LOGIC,F142,14EC30037-14MT10007,F
HS30068,SYMBOLIC LOGIC,NC141,14MT10034-15CS10057,D
HS30068,SYMBOLIC LOGIC,NR121,15CS10062-15IE10027,D
HS30074,SCIENCE AND HUMANISM,F116,10NA10010-13IM10026,H
HS30074,SCIENCE AND HUMANISM,F142,13IM30001-13QE30003,H
HS30074,SCIENCE AND HUMANISM,NR222,14EC10053-15HS20024,D
HS30095,GLOBALISATION AND CULTURE,NC142,10AR10049-14EX20020,E
HS30095,GLOBALISATION AND CULTURE,F142,14EX20036-15CH10020,G
HS30095,GLOBALISATION AND CULTURE,NR222,15CH10030-15EE10039,A
HS30095,GLOBALISATION AND CULTURE,NC142,15GG20001-15IE10019,C
HS30097,FINANCIAL INSTITUTIONS & MARKETS,V1,11HS20013-14HS20026,A
HS30097,FINANCIAL INSTITUTIONS & MARKETS,V2,14HS20027-14MI10007,A
HS30097,FINANCIAL INSTITUTIONS & MARKETS,S301,14MI31003-15NA10022,B
HS40091,DERIVATIVES,F232,08HS2025-12HS20016,B
HS40091,DERIVATIVES,NC141,12HS20017-12HS20032,F
HS40091,DERIVATIVES,NC142,12HS20033-13GG20028,F
HS40091,DERIVATIVES,F232,13GG20033-13MI10036,H
HS69011,ENVIRONMENT AND WELLNESS,NR221,11NA30003-14MI10032,G
HS69011,ENVIRONMENT AND WELLNESS,NR121,14MI31013-15EE30015,H
HS69011,ENVIRONMENT AND WELLNESS,NR122,15EE30022-16AR91R01,G
IM31011,DESIGN FOR MANUFACTURABILITY,F232,12IM10024-14IM10015,C
IM31011,DESIGN FOR MANUFACTURABILITY,NC141,14IM10016-14QE30001,G
IM31011,DESIGN FOR MANUFACTURABILITY,NC142,14QE30002-14QM30006,G
IP60113,CORPORATE LAW - I,F232,15IP61003-15IP61030,D
IP60113,CORPORATE LAW - I,NC141,15IP61031-15IP61050,H
MA40003,SYSTEMS PROGRAMMING,NR221,07SI2026-13MA20014,H
MA40003,SYSTEMS PROGRAMMING,NR222,13MA20015-13MA20034,H
MA40003,SYSTEMS PROGRAMMING,NR122,13MA20035-13MA20054,H
ME40701,APPLIED THERMO-FLUIDS II,V1,11ME10029-13ME10059,E
Subject,Subject Name,Room No,Subdivision,Sitting Pattern
No,,,,
ME40701,APPLIED THERMO-FLUIDS II,V2,13ME10060-13ME32004,E
ME40701,APPLIED THERMO-FLUIDS II,S301,13ME32005-13MF3IM05,D
MI20101,DEVELOPMENT OF MINERAL DEPOSITS,NR221,14MI10019-15MI10028,C
MI20101,DEVELOPMENT OF MINERAL DEPOSITS,NR222,15MI10030-15MI31015,C
MI20101,DEVELOPMENT OF MINERAL DEPOSITS,NR122,15MI31016-15MI3PE03,C
PH41019,NUCLEAR AND PARTICLE PHYSICS -II,NR221,11PH20007-13PH20022,B
PH41019,NUCLEAR AND PARTICLE PHYSICS -II,NR222,13PH20026-15PH40019,B
PH41019,NUCLEAR AND PARTICLE PHYSICS -II,NR121,15PH40020-15PH40047,B
Subject,Subject Name,Room No,Subdivision,Sitting Pattern
No,,,,
AE21001,INTRODUCTION TO AERODYNAMICS,NC141,12AE30004-15AE10012,A
AE21001,INTRODUCTION TO AERODYNAMICS,NC142,15AE10014-15AE10028,A
AE21001,INTRODUCTION TO AERODYNAMICS,NR224,15AE10029-15AE30010,F
AE21001,INTRODUCTION TO AERODYNAMICS,NR124,15AE30011-15PH20034,G
AE31009,AEROSPACE STRUCTURAL ANALYSIS,NC242,10AE10027-14AE10010,A
AE31009,AEROSPACE STRUCTURAL ANALYSIS,NC243,14AE10011-14AE10024,A
AE31009,AEROSPACE STRUCTURAL ANALYSIS,NC244,14AE10025-14AE30004,A
AE31009,AEROSPACE STRUCTURAL ANALYSIS,NC341,14AE30005-14AE30019,A
AR12003,INTRODUCTION TO ARCHITECTURE,NC243,16AR10001-16AR10010,C
AR12003,INTRODUCTION TO ARCHITECTURE,NC244,16AR10011-16AR10021,C
AR12003,INTRODUCTION TO ARCHITECTURE,NR123,16AR10022-16AR10033,C
AR12003,INTRODUCTION TO ARCHITECTURE,NC341,16AR10034-16AR10043,C
AR32003,SPECIFICATION,NC141,11AR10026-14AR10004,C
AR32003,SPECIFICATION,NC142,14AR10005-14AR10016,C
AR32003,SPECIFICATION,NC241,14AR10017-14AR10027,C
AR32003,SPECIFICATION,NC242,14AR10029-16AR1FX01,C
CE20006,WATER RESOURCES ENGG.,NR221,11CE10021-15AR10019,H
CE20006,WATER RESOURCES ENGG.,NR222,15AR10024-15CE10019,F
CE20006,WATER RESOURCES ENGG.,NR121,15CE10021-15CE10045,H
CE20006,WATER RESOURCES ENGG.,NR122,15CE10046-15CE30009,H
CE20006,WATER RESOURCES ENGG.,NR321,15CE30010-15CE30023,F
CE31005,WATER AND W.W. ENGINEERING,F232,10CE30016-14CE10009,E
CE31005,WATER AND W.W. ENGINEERING,NC142,14CE10010-14CE10027,H
CE31005,WATER AND W.W. ENGINEERING,NC241,14CE10030-14CE10044,H
